name,source,truth_type,cluster,pdb,chain,n_active,n_true,n_components,same_component,unreachable,min_euclid,median_euclid,min_hop,median_hop,n_true_unreachable,is_distal
ASB_11BG,asbench,curated_allosteric,Seminal ribonuclease,11BG,A,18,6,1,True,False,8.683877187063395,11.287796993621953,2.0,2.5,0,False
ASB_1A3W,asbench,curated_allosteric,Pyruvate kinase 1,1A3W,A,23,15,1,True,False,18.914826856199348,26.5364741629328,4.0,5.0,0,True
ASB_1CE8_1,asbench,curated_allosteric,Carbamoyl-phosphate synthase large chain,1CE8,A,29,11,1,True,False,3.685714856035392,6.97458507726445,1.0,1.0,0,False
ASB_1CE8_2,asbench,curated_allosteric,Carbamoyl-phosphate synthase large chain,1CE8,A,29,19,1,True,False,10.789502537188637,16.97410068309953,2.0,4.0,0,False
ASB_1DKU,asbench,curated_allosteric,Ribose-phosphate pyrophosphokinase,1DKU,A,11,7,1,True,False,10.283460604290756,18.163336395056945,2.0,3.0,0,False
ASB_1EM6,asbench,curated_allosteric,"Glycogen phosphorylase, liver form",1EM6,A,4,12,1,True,False,21.39713328929836,27.1736887388427,4.0,5.0,0,True
ASB_1FRP,asbench,curated_allosteric,"Fructose-1,6-bisphosphatase 1",1FRP,A,20,15,1,True,False,15.574187201905595,22.99634818835374,3.0,5.0,0,True
ASB_1G3L,asbench,curated_allosteric,Glucose-1-phosphate thymidylyltransferase,1G3L,A,29,14,1,True,False,10.24272712708877,16.556823847842608,2.0,3.0,0,False
ASB_1GZ3,asbench,curated_allosteric,"NAD-dependent malic enzyme, mitochondrial",1GZ3,A,12,5,1,True,False,15.550171285230268,19.694326010300532,3.0,4.0,0,True
ASB_1H5S,asbench,curated_allosteric,Glucose-1-phosphate thymidylyltransferase 1,1H5S,A,29,11,1,True,False,8.492254412109899,15.02538299012707,2.0,3.0,0,False
ASB_1H78,asbench,curated_allosteric,Anaerobic ribonucleoside-triphosphate reductase,1H78,A,20,11,1,True,False,22.52051202792689,29.900111588420533,4.0,6.0,0,True
ASB_1IWH,asbench,curated_allosteric,Hemoglobin subunit alpha,1IWH,A,6,6,1,True,False,3.7653082211155007,5.237619781056208,1.0,1.0,0,False
ASB_1KFL,asbench,curated_allosteric,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",1KFL,A,20,10,1,True,False,9.27379329077374,12.854521731213097,2.0,3.0,0,False
ASB_1LVW,asbench,curated_allosteric,Glucose-1-phosphate thymidylyltransferase,1LVW,A,29,12,1,True,False,3.7675786654030206,10.793437144275398,1.0,2.0,0,False
ASB_1M8P,asbench,curated_allosteric,Sulfate adenylyltransferase,1M8P,A,24,18,1,True,False,39.35652258520816,49.200470403190096,9.0,10.0,0,True
ASB_1MP3,asbench,curated_allosteric,Glucose-1-phosphate thymidylyltransferase,1MP3,A,29,11,1,True,False,8.631120668835544,14.276595707660844,2.0,3.0,0,False
ASB_1NE7,asbench,curated_allosteric,Glucosamine-6-phosphate isomerase 1,1NE7,A,25,4,1,True,False,14.790119269295973,16.984153281122317,3.0,3.5,0,True
ASB_1NH8,asbench,curated_allosteric,ATP phosphoribosyltransferase,1NH8,A,16,6,1,True,False,28.933828643993863,34.19789479537098,6.0,6.5,0,True
ASB_1NJJ,asbench,curated_allosteric,Ornithine decarboxylase,1NJJ,A,23,8,1,True,False,9.856199825490554,18.22546755065197,2.0,3.0,0,False
ASB_1OF6,asbench,curated_allosteric,"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited",1OF6,A,20,9,1,True,False,0.0,6.4097471088959495,0.0,1.0,0,False
ASB_1PFK,asbench,curated_allosteric,ATP-dependent 6-phosphofructokinase isozyme 1,1PFK,A,27,10,1,True,False,21.74783711084852,28.19432774471056,4.0,4.5,0,True
ASB_1QW7,asbench,curated_allosteric,Parathion hydrolase,1QW7,A,9,2,1,True,False,12.108114882177158,12.502980858993308,2.0,2.0,0,True
ASB_1T49,asbench,curated_allosteric,Tyrosine-protein phosphatase non-receptor type 1,1T49,A,21,12,1,True,False,12.70101578614876,15.901257444204434,3.0,3.0,0,True
ASB_1UXV,asbench,curated_allosteric,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase,1UXV,A,6,12,1,True,False,16.20166346397801,24.142594978423844,3.0,4.0,0,True
ASB_1W0F,asbench,curated_allosteric,Cytochrome P450 3A4,1W0F,A,43,6,1,True,False,10.419613284570593,14.11533815764635,2.0,3.0,0,False
ASB_1W25,asbench,curated_allosteric,Response regulator PleD,1W25,A,16,17,1,True,False,13.393005114611134,17.748834384263102,2.0,4.0,0,True
ASB_1W96,asbench,curated_allosteric,Acetyl-CoA carboxylase,1W96,A,11,15,1,True,False,13.516139167676545,18.43095363783437,3.0,3.0,0,True
ASB_1Z8D_1,asbench,curated_allosteric,"Glycogen phosphorylase, muscle form",1Z8D,A,4,9,1,True,False,27.362993129407464,32.99924535500774,5.0,6.0,0,True
ASB_1Z8D_2,asbench,curated_allosteric,"Glycogen phosphorylase, muscle form",1Z8D,A,4,5,1,True,False,9.361539777194773,12.051815381924833,2.0,2.0,0,False
ASB_1ZDS,asbench,curated_allosteric,Copper-containing nitrite reductase,1ZDS,A,6,9,1,True,False,5.52447870843938,10.079311980487557,1.0,2.0,0,False
ASB_2BU8,asbench,curated_allosteric,Pyruvate dehydrogenase kinase isozyme 2,2BU8,A,26,9,1,True,False,14.083633657547336,20.06038728439708,3.0,5.0,0,True
ASB_2BXA,asbench,curated_allosteric,Serum albumin,2BXA,A,24,14,1,True,False,13.028464529636638,19.742202910618182,2.0,4.0,0,True
ASB_2D60,asbench,curated_allosteric,Hemoglobin subunit beta,2D60,A,6,4,1,True,False,3.768795165566842,5.463765193797165,1.0,1.0,0,False
ASB_2HIM,asbench,curated_allosteric,L-asparaginase 1,2HIM,A,15,8,1,True,False,3.8006382358756534,12.494541870825003,1.0,3.0,0,False
ASB_2HVW,asbench,curated_allosteric,Putative deoxycytidylate deaminase,2HVW,A,27,10,1,True,False,0.0,3.822030003458232,0.0,1.0,0,False
ASB_2IEG,asbench,curated_allosteric,"Glycogen phosphorylase, muscle form",2IEG,A,4,9,1,True,False,21.67007351164273,26.03908804086656,5.0,5.0,0,True
ASB_2J0X,asbench,curated_allosteric,Lysine-sensitive aspartokinase 3,2J0X,A,30,8,1,True,False,22.914505864190048,29.5871876180856,5.0,6.0,0,True
ASB_2JHR,asbench,curated_allosteric,Myosin-2 heavy chain,2JHR,A,15,13,1,True,False,11.024108898228464,20.189889301331004,3.0,4.0,0,False
ASB_2NW8,asbench,curated_allosteric,"Tryptophan 2,3-dioxygenase",2NW8,A,12,7,1,True,False,19.078519911146145,28.008264387498198,4.0,6.0,0,True
ASB_2PA3,asbench,curated_allosteric,D-3-phosphoglycerate dehydrogenase,2PA3,A,37,8,1,True,False,24.622265574069335,32.011062502001906,5.0,6.0,0,True
ASB_2Q5O,asbench,curated_allosteric,Indole-3-pyruvate decarboxylase,2Q5O,A,6,12,1,True,False,7.272137581206779,15.152100344947131,1.0,3.0,0,False
ASB_2Q8M_1,asbench,curated_allosteric,"Fructose-1,6-bisphosphatase class 1",2Q8M,A,20,5,1,True,False,5.775089523115637,10.160025639731424,1.0,2.0,0,False
ASB_2Q8M_2,asbench,curated_allosteric,"Fructose-1,6-bisphosphatase class 1",2Q8M,A,20,14,1,True,False,12.667712382273288,21.59939964738593,3.0,5.0,0,True
ASB_2QMX,asbench,curated_allosteric,Prephenate dehydratase,2QMX,A,16,5,1,True,False,11.32580014833389,13.338286584115668,5.0,5.0,0,False
ASB_2QPY,asbench,curated_allosteric,Androgen receptor,2QPY,A,25,10,1,True,False,17.659448009493392,19.942804889776834,3.0,4.0,0,True
ASB_2R1R,asbench,curated_allosteric,Ribonucleoside-diphosphate reductase 1 subunit alpha,2R1R,A,27,8,1,True,False,18.944885800658707,23.202683605612236,3.0,4.5,0,True
ASB_2RD5,asbench,curated_allosteric,"Acetylglutamate kinase, chloroplastic",2RD5,A,21,12,1,True,False,11.111892098108227,15.51488425943838,2.0,4.0,0,False
ASB_2V4Y,asbench,curated_allosteric,Uridylate kinase,2V4Y,A,35,7,1,True,False,11.206011154732982,14.243933094479207,2.0,3.0,0,False
ASB_2VD3,asbench,curated_allosteric,ATP phosphoribosyltransferase,2VD3,A,16,8,1,True,False,20.119333140042194,24.583812058653955,4.0,5.0,0,True
ASB_2VGI,asbench,curated_allosteric,Pyruvate kinase PKLR,2VGI,A,21,17,1,True,False,20.07192090956917,27.729951244097062,4.0,5.0,0,True
ASB_2VVT,asbench,curated_allosteric,Glutamate racemase,2VVT,A,23,12,1,True,False,0.0,8.630469679260047,0.0,2.0,0,False
ASB_2W4I,asbench,curated_allosteric,Glutamate racemase,2W4I,A,23,7,1,True,False,0.0,0.0,0.0,0.0,0,False
ASB_2XJC,asbench,curated_allosteric,Cytosolic purine 5'-nucleotidase,2XJC,A,29,10,1,True,False,3.7991663559259994,9.695203270754707,1.0,2.0,0,False
ASB_2Y0P,asbench,curated_allosteric,Multifunctional 2-oxoglutarate metabolism enzyme,2Y0P,A,27,18,1,True,False,17.537540192398705,28.089453274594526,3.0,5.0,0,True
ASB_2YHD,asbench,curated_allosteric,Androgen receptor,2YHD,A,25,8,1,True,False,3.8050536132885155,9.771891520466653,1.0,2.0,0,False
ASB_2YLO,asbench,curated_allosteric,Androgen receptor,2YLO,A,25,10,1,True,False,15.403325192957524,18.288223483400614,3.0,4.0,0,True
ASB_3BZ7,asbench,curated_allosteric,Myosin-2 heavy chain,3BZ7,A,15,16,1,True,False,0.0,8.813006990084874,0.0,2.0,0,False
ASB_3C1N,asbench,curated_allosteric,Probable aspartokinase,3C1N,A,34,8,1,True,False,11.523481678728874,13.986390175062354,2.0,3.0,0,False
ASB_3CEH,asbench,curated_allosteric,"Glycogen phosphorylase, liver form",3CEH,A,4,8,1,True,False,22.46897803639498,28.67414934460301,5.0,6.0,0,True
ASB_3CSM,asbench,curated_allosteric,Chorismate mutase,3CSM,A,20,8,1,True,False,9.419258410299609,18.262690853878418,2.0,4.0,0,False
ASB_3D2P,asbench,curated_allosteric,Amino-acid acetyltransferase,3D2P,A,27,17,1,True,False,10.886458744697467,17.630886818308372,3.0,5.0,0,False
ASB_3DC2,asbench,curated_allosteric,D-3-phosphoglycerate dehydrogenase,3DC2,A,37,8,1,True,False,24.691880730312956,30.303360134285153,7.0,9.0,0,True
ASB_3E3N,asbench,curated_allosteric,"Glycogen phosphorylase, muscle form",3E3N,A,4,9,1,True,False,27.492553337222063,33.16400135689299,5.0,6.0,0,True
ASB_3EPS,asbench,curated_allosteric,Isocitrate dehydrogenase kinase/phosphatase,3EPS,A,33,13,1,True,False,10.136836636742254,14.3638083390165,2.0,3.0,0,False
ASB_3ETE_1,asbench,curated_allosteric,"Glutamate dehydrogenase 1, mitochondrial",3ETE,A,10,3,1,True,False,20.66024051166878,21.330331924280976,4.0,4.0,0,True
ASB_3ETE_2,asbench,curated_allosteric,"Glutamate dehydrogenase 1, mitochondrial",3ETE,A,10,11,1,True,False,3.750496767096331,11.102096828977855,1.0,2.0,0,False
ASB_3ETG,asbench,curated_allosteric,"Glutamate dehydrogenase 1, mitochondrial",3ETG,A,10,6,1,True,False,14.342153569112277,15.715388906962302,2.0,3.0,0,True
ASB_3FUD,asbench,curated_allosteric,Leukotriene A-4 hydrolase,3FUD,A,25,9,1,True,False,17.102623658374757,18.979629659189875,4.0,4.0,0,True
ASB_3H30,asbench,curated_allosteric,Casein kinase II subunit alpha,3H30,A,20,9,1,True,False,3.7986963553303386,9.995257975660257,1.0,2.0,0,False
ASB_3H6O,asbench,curated_allosteric,Pyruvate kinase PKM,3H6O,A,20,16,1,True,False,20.446724652129497,28.837194629485026,4.0,5.0,0,True
ASB_3HFR,asbench,curated_allosteric,Glutamate racemase,3HFR,A,23,5,1,True,False,5.034514177157514,8.753188504767849,1.0,2.0,0,False
ASB_3HO6,asbench,curated_allosteric,Toxin A,3HO6,A,23,14,1,True,False,0.0,9.92871806544454,0.0,2.0,0,False
ASB_3HQP,asbench,curated_allosteric,Pyruvate kinase,3HQP,A,34,15,1,True,False,21.220129170200636,30.006840603435744,4.0,5.0,0,True
ASB_3IFA,asbench,curated_allosteric,"Fructose-1,6-bisphosphatase isozyme 2",3IFA,A,20,14,1,True,False,17.01249720058758,23.17123183019186,3.0,5.0,0,True
ASB_3IRH,asbench,curated_allosteric,HD domain protein,3IRH,B,26,8,1,True,False,3.8059743824676486,12.546369043904784,1.0,3.0,0,False
ASB_3K5V,asbench,curated_allosteric,Tyrosine-protein kinase ABL1,3K5V,A,32,17,1,True,False,10.778023473717246,18.428837782128316,2.0,4.0,0,False
ASB_3KGF_1,asbench,curated_allosteric,Phospho-2-dehydro-3-deoxyheptonate aldolase AroG,3KGF,A,18,6,1,True,False,10.294239019956741,12.911234617091202,2.0,2.5,0,False
