base,best_auc,best_auc_cell,best_p5,best_p5_cell,cluster,n_drug,n_pockets,n_seeds,null_max_auc,perm_p,protein,reason,run,source,status,truth_type
,,,,,,,,,,,ASB_1A3W,fpocket none,fpocket_hop1,,not_scored,
0.0333,0.8879,gauss|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.01,Anaerobic ribonucleoside-triphosphate reductase,2,10,60,0.8962,0.61,ASB_1H78,,fpocket_hop1,asbench,scored,curated_allosteric
0.1379,0.7125,harm|comb|R,0.6,harm|comb|R,ATP-dependent 6-phosphofructokinase isozyme 1,8,10,58,0.7107,0.495,ASB_1PFK,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1W25,seeds 75 drug 0,fpocket_hop1,,not_scored,
0.1628,0.872,gauss|adj|green_lmax_0.05,0.8,exp|adj|green_lmax_0.05,Serum albumin,14,10,86,0.67,0.0,ASB_2BXA,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2PA3,seeds 74 drug 0,fpocket_hop1,,not_scored,
0.0141,0.9857,exp|adj|R,0.2,exp|adj|R,ATP phosphoribosyltransferase,1,10,71,0.9759,0.53,ASB_2VD3,,fpocket_hop1,asbench,scored,curated_allosteric
0.0588,0.6649,exp|adj|R,0.4,gauss|comb|residLOG,"Glycogen phosphorylase, liver form",6,10,102,0.7474,0.96,ASB_3CEH,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3ETG,seeds 84 drug 0,fpocket_hop1,,not_scored,
0.1489,0.6902,binary|sym|residLOG,0.6,gauss|sym|residLOG,"Fructose-1,6-bisphosphatase isozyme 2",14,10,94,0.6782,0.39,ASB_3IFA,,fpocket_hop1,asbench,scored,curated_allosteric
0.0656,0.7588,binary|adj|R,0.4,binary|adj|residLOG,Phospho-2-dehydro-3-deoxyheptonate aldolase,4,10,61,0.7949,0.715,ASB_3PG9,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_4GRS,seeds 58 drug 0,fpocket_hop1,,not_scored,
0.1014,0.6797,exp|adj|residLOG,0.4,harm|adj|R,ATP-dependent 6-phosphofructokinase,7,10,69,0.7391,0.82,ASB_4PFK,,fpocket_hop1,asbench,scored,curated_allosteric
0.0361,0.9,binary|adj|residLOG,0.2,binary|adj|green_zero_0.05,CAS0001,3,10,83,0.8402,0.235,CAS_1NXE,,fpocket_hop1,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1YBA,seeds 69 drug 0,fpocket_hop1,,not_scored,
,,,,,,,,,,,CAS_2PA3,seeds 73 drug 0,fpocket_hop1,,not_scored,
0.0811,0.723,harm|sym|R,0.4,binary|sym|R,CAS0002,6,10,74,0.7365,0.595,CAS_3KOO,,fpocket_hop1,casbench,scored,curated_allosteric
0.15,0.6838,binary|adj|green_lmax_0.05,0.4,binary|adj|p_peak,CAS0001,12,10,80,0.68,0.465,CAS_4JAE,,fpocket_hop1,casbench,scored,curated_allosteric
0.2283,0.6922,exp|adj|R,0.8,exp|adj|R,CAS0002,21,10,92,0.6451,0.13,CAS_5AI4,,fpocket_hop1,casbench,scored,curated_allosteric
0.2927,0.62,gauss|comb|R,0.6,gauss|sym|residLOG,CAS0002,24,10,82,0.6376,0.645,CAS_5AK5,,fpocket_hop1,casbench,scored,curated_allosteric
0.2381,0.632,gauss|adj|R,0.4,binary|adj|R,CAS0002,20,10,84,0.6502,0.635,CAS_5AKY,,fpocket_hop1,casbench,scored,curated_allosteric
0.2167,0.7349,binary|adj|R,0.6,binary|adj|R,CAS0002,13,10,60,0.6732,0.095,CAS_5ALM,,fpocket_hop1,casbench,scored,curated_allosteric
0.2099,0.636,exp|sym|R,0.4,binary|adj|R,CAS0002,17,10,81,0.6438,0.545,CAS_5ALU,,fpocket_hop1,casbench,scored,curated_allosteric
0.1569,0.8983,gauss|adj|R,0.8,gauss|adj|R,CAS0002,8,10,51,0.7196,0.0,CAS_5AM0,,fpocket_hop1,casbench,scored,curated_allosteric
0.0484,0.887,binary|comb|green_lmax_0.05,0.2,binary|comb|p_avg,P00590,3,10,62,0.8394,0.24,CB_1CUZ,,fpocket_hop1,cryptobench,scored,drug_contact
0.0702,0.9057,exp|adj|green_zero_0.05,0.6,exp|adj|p_peak,Q93096,4,9,57,0.8,0.055,CB_1RXD,,fpocket_hop1,cryptobench,scored,drug_contact
0.1111,0.7844,exp|comb|R,0.6,exp|comb|R,P25114,15,10,135,0.6574,0.0,CB_3BIF,,fpocket_hop1,cryptobench,scored,drug_contact
0.1364,0.7251,gauss|comb|residLOG,0.4,binary|adj|residLOG,Q1EMV2,9,10,66,0.7158,0.39,CB_3P3I,,fpocket_hop1,cryptobench,scored,drug_contact
0.2133,0.8072,binary|comb|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,Q9H7Z6,16,10,75,0.6699,0.005,CB_4DNC,,fpocket_hop1,cryptobench,scored,drug_contact
0.1781,0.7231,binary|sym|residLOG,0.6,binary|adj|green_lmax_0.05,O28597,13,10,73,0.6757,0.15,CB_4TWI,,fpocket_hop1,cryptobench,scored,drug_contact
0.0238,0.8537,gauss|comb|R,0.2,exp|adj|R,A0QUZ2,2,10,84,0.8959,0.785,CB_5GGC,,fpocket_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6AQE,seeds 60 drug 0,fpocket_hop1,,not_scored,
,,,,,,,,,,,CB_6PLF,seeds 61 drug 0,fpocket_hop1,,not_scored,
0.0962,0.8213,gauss|adj|green_lmax_0.05,0.6,binary|sym|R,P30793,5,10,52,0.7835,0.29,CB_6Z89,,fpocket_hop1,cryptobench,scored,drug_contact
0.2034,0.6436,binary|sym|R,0.4,binary|adj|R,2ZB1,12,10,59,0.692,0.81,CS_2ZB1,,fpocket_hop1,cryptosite,scored,drug_contact
0.0268,0.9205,gauss|adj|residLOG,0.2,binary|adj|green_zero_0.01,"Glycogen phosphorylase, liver form",3,10,112,0.8495,0.13,ASB_1EM6,,fpocket_hop1,asbench,scored,curated_allosteric
0.1121,0.7175,harm|adj|residRAW,0.6,binary|adj|R,Sulfate adenylyltransferase,12,10,107,0.6696,0.2,ASB_1M8P,,fpocket_hop1,asbench,scored,curated_allosteric
0.0241,0.9444,binary|adj|p_peak,0.2,binary|adj|p_peak,Parathion hydrolase,2,10,83,0.909,0.305,ASB_1QW7,,fpocket_hop1,asbench,scored,curated_allosteric
0.1333,0.686,exp|sym|residLOG,0.6,gauss|adj|p_peak,Acetyl-CoA carboxylase,14,10,105,0.6682,0.315,ASB_1W96,,fpocket_hop1,asbench,scored,curated_allosteric
0.0909,0.7109,exp|comb|p_peak,0.2,binary|adj|p_peak,"Glycogen phosphorylase, muscle form",8,10,88,0.7248,0.605,ASB_2IEG,,fpocket_hop1,asbench,scored,curated_allosteric
0.1628,0.6587,binary|comb|R,0.6,binary|comb|R,"Fructose-1,6-bisphosphatase class 1",14,10,86,0.6703,0.55,ASB_2Q8M_2,,fpocket_hop1,asbench,scored,curated_allosteric
0.0548,0.8514,binary|adj|residLOG,0.4,gauss|comb|residLOG,Pyruvate kinase PKLR,4,10,73,0.8023,0.235,ASB_2VGI,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3DC2,seeds 76 drug 0,fpocket_hop1,,not_scored,
0.0227,0.9186,harm|sym|R,0.2,binary|comb|R,Leukotriene A-4 hydrolase,2,10,88,0.8869,0.42,ASB_3FUD,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3LSX,seeds 81 drug 0,fpocket_hop1,,not_scored,
0.0562,0.8786,exp|sym|residLOG,0.2,binary|comb|R,Ribonucleoside-diphosphate reductase 1 subunit alpha,5,10,89,0.7785,0.05,ASB_3R1R,,fpocket_hop1,asbench,scored,curated_allosteric
0.1667,0.7378,exp|sym|residRAW,0.6,exp|comb|R,Pyruvate kinase 1,15,10,90,0.6668,0.06,ASB_4HYW,,fpocket_hop1,asbench,scored,curated_allosteric
0.0235,0.9699,gauss|sym|residRAW,0.4,gauss|sym|residRAW,CAS0027,2,10,85,0.8664,0.09,CAS_1CZA,,fpocket_hop1,casbench,scored,curated_allosteric
0.0435,0.8636,exp|comb|R,0.4,exp|comb|R,CAS0001,3,10,69,0.8505,0.485,CAS_1NXG,,fpocket_hop1,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_2P9C,seeds 60 drug 0,fpocket_hop1,,not_scored,
,,,,,,,,,,,CAS_3DDN,seeds 90 drug 0,fpocket_hop1,,not_scored,
,,,,,,,,,,,CAS_3OTQ,seeds 65 drug 0,fpocket_hop1,,not_scored,
0.1233,0.7378,binary|comb|green_lmax_0.05,0.4,binary|adj|green_zero_0.01,CAS0001,9,10,73,0.7108,0.28,CAS_4JAF,,fpocket_hop1,casbench,scored,curated_allosteric
