protein,frac_top1,n_cells,k,n,cluster,chance,excess
ASB_1A3W,0.09615384615384616,208,1,9,Pyruvate kinase 1,0.1111111111111111,-0.014957264957264946
ASB_1FRP,0.14423076923076922,208,1,9,"Fructose-1,6-bisphosphatase 1",0.1111111111111111,0.03311965811965811
ASB_1GZ3,0.07692307692307693,208,1,9,"NAD-dependent malic enzyme, mitochondrial",0.1111111111111111,-0.03418803418803418
ASB_1M8P,0.04326923076923077,208,1,9,Sulfate adenylyltransferase,0.1111111111111111,-0.06784188034188034
ASB_1PFK,0.009615384615384616,208,1,9,ATP-dependent 6-phosphofructokinase isozyme 1,0.1111111111111111,-0.1014957264957265
ASB_1QW7,0.04807692307692308,208,1,9,Parathion hydrolase,0.1111111111111111,-0.06303418803418803
ASB_1T49,0.02403846153846154,208,1,9,Tyrosine-protein phosphatase non-receptor type 1,0.1111111111111111,-0.08707264957264957
ASB_1W25,0.41346153846153844,208,1,9,Response regulator PleD,0.1111111111111111,0.30235042735042733
ASB_1Z8D_1,0.10576923076923077,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.005341880341880337
ASB_2BU8,0.009615384615384616,208,1,9,Pyruvate dehydrogenase kinase isozyme 2,0.1111111111111111,-0.1014957264957265
ASB_2BXA,0.057692307692307696,208,1,9,Serum albumin,0.1111111111111111,-0.05341880341880341
ASB_2IEG,0.07211538461538461,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.038995726495726496
ASB_2Q8M_2,0.04326923076923077,208,1,9,"Fructose-1,6-bisphosphatase class 1",0.1111111111111111,-0.06784188034188034
ASB_2YLO,0.1201923076923077,208,1,9,Androgen receptor,0.1111111111111111,0.00908119658119659
ASB_3CEH,0.038461538461538464,208,1,9,"Glycogen phosphorylase, liver form",0.1111111111111111,-0.07264957264957264
ASB_3E3N,0.057692307692307696,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.05341880341880341
ASB_3H6O,0.02403846153846154,208,1,9,Pyruvate kinase PKM,0.1111111111111111,-0.08707264957264957
ASB_3HQP,0.04807692307692308,208,1,9,Pyruvate kinase,0.1111111111111111,-0.06303418803418803
ASB_3IFA,0.08173076923076923,208,1,9,"Fructose-1,6-bisphosphatase isozyme 2",0.1111111111111111,-0.029380341880341873
ASB_3O2M,0.04807692307692308,208,1,9,Mitogen-activated protein kinase 8,0.1111111111111111,-0.06303418803418803
ASB_3PG9,0.03365384615384615,208,1,9,Phospho-2-dehydro-3-deoxyheptonate aldolase,0.1111111111111111,-0.07745726495726496
ASB_3R1R,0.038461538461538464,208,1,9,Ribonucleoside-diphosphate reductase 1 subunit alpha,0.1111111111111111,-0.07264957264957264
ASB_4E6C,0.028846153846153848,208,1,9,Mitogen-activated protein kinase 14,0.1111111111111111,-0.08226495726495725
ASB_4G1N,0.04807692307692308,208,1,9,Pyruvate kinase PKM,0.1111111111111111,-0.06303418803418803
ASB_4HYW,0.03365384615384615,208,1,9,Pyruvate kinase 1,0.1111111111111111,-0.07745726495726496
ASB_4MRA,0.04807692307692308,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.06303418803418803
ASB_4PFK,0.009615384615384616,208,1,8,ATP-dependent 6-phosphofructokinase,0.125,-0.11538461538461539
CAS_1CZA,0.08173076923076923,208,1,9,CAS0027,0.1111111111111111,-0.029380341880341873
CAS_1DGK,0.1201923076923077,208,1,9,CAS0027,0.1111111111111111,0.00908119658119659
CAS_1NXE,0.125,208,1,9,CAS0001,0.1111111111111111,0.013888888888888895
CAS_1NXG,0.19230769230769232,208,1,9,CAS0001,0.1111111111111111,0.08119658119658121
CAS_1OWC,0.0625,208,1,9,CAS0001,0.1111111111111111,-0.048611111111111105
CAS_2P9E,0.02403846153846154,208,1,9,CAS0040,0.1111111111111111,-0.08707264957264957
CAS_3I28,0.004807692307692308,208,1,9,CAS0002,0.1111111111111111,-0.1063034188034188
CAS_3KOO,0.038461538461538464,208,1,9,CAS0002,0.1111111111111111,-0.07264957264957264
CAS_3OTQ,0.02403846153846154,208,1,9,CAS0002,0.1111111111111111,-0.08707264957264957
CAS_4G6B,0.09134615384615384,208,1,9,CAS0001,0.1111111111111111,-0.019764957264957264
CAS_4JAD,0.04326923076923077,208,1,9,CAS0001,0.1111111111111111,-0.06784188034188034
