protein,frac_top1,n_cells,k,n,cluster,chance,excess
ASB_1A3W,0.15865384615384615,208,1,9,Pyruvate kinase 1,0.1111111111111111,0.04754273504273504
ASB_1FRP,0.2644230769230769,208,1,7,"Fructose-1,6-bisphosphatase 1",0.14285714285714285,0.12156593406593408
ASB_1M8P,0.08173076923076923,208,2,7,Sulfate adenylyltransferase,0.2857142857142857,-0.20398351648351648
ASB_1PFK,0.014423076923076924,208,1,6,ATP-dependent 6-phosphofructokinase isozyme 1,0.16666666666666666,-0.15224358974358973
ASB_1T49,0.009615384615384616,208,1,9,Tyrosine-protein phosphatase non-receptor type 1,0.1111111111111111,-0.1014957264957265
ASB_1W25,0.5432692307692307,208,1,9,Response regulator PleD,0.1111111111111111,0.4321581196581196
ASB_1W96,0.2548076923076923,208,2,9,Acetyl-CoA carboxylase,0.2222222222222222,0.03258547008547008
ASB_2BU8,0.014423076923076924,208,1,8,Pyruvate dehydrogenase kinase isozyme 2,0.125,-0.11057692307692307
ASB_2BXA,0.15384615384615385,208,1,8,Serum albumin,0.125,0.028846153846153855
ASB_2IEG,0.0625,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.048611111111111105
ASB_2Q8M_2,0.0625,208,1,8,"Fructose-1,6-bisphosphatase class 1",0.125,-0.0625
ASB_2YLO,0.34134615384615385,208,2,8,Androgen receptor,0.25,0.09134615384615385
ASB_3E3N,0.0673076923076923,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.0438034188034188
ASB_3H6O,0.028846153846153848,208,1,9,Pyruvate kinase PKM,0.1111111111111111,-0.08226495726495725
ASB_3HQP,0.052884615384615384,208,1,9,Pyruvate kinase,0.1111111111111111,-0.05822649572649572
ASB_3IFA,0.1201923076923077,208,1,8,"Fructose-1,6-bisphosphatase isozyme 2",0.125,-0.0048076923076923045
ASB_3O2M,0.019230769230769232,208,1,9,Mitogen-activated protein kinase 8,0.1111111111111111,-0.09188034188034187
ASB_3PG9,0.03365384615384615,208,1,9,Phospho-2-dehydro-3-deoxyheptonate aldolase,0.1111111111111111,-0.07745726495726496
ASB_4HYW,0.052884615384615384,208,1,9,Pyruvate kinase 1,0.1111111111111111,-0.05822649572649572
CAS_1CZA,0.07692307692307693,208,1,9,CAS0027,0.1111111111111111,-0.03418803418803418
CAS_1DGK,0.09134615384615384,208,1,9,CAS0027,0.1111111111111111,-0.019764957264957264
CAS_2P9E,0.04807692307692308,208,2,8,CAS0040,0.25,-0.20192307692307693
CAS_3I28,0.028846153846153848,208,2,8,CAS0002,0.25,-0.22115384615384615
CAS_3KOO,0.052884615384615384,208,1,6,CAS0002,0.16666666666666666,-0.11378205128205127
CAS_4JAD,0.02403846153846154,208,1,9,CAS0001,0.1111111111111111,-0.08707264957264957
CAS_4JAE,0.03365384615384615,208,1,9,CAS0001,0.1111111111111111,-0.07745726495726496
CAS_4JAF,0.07692307692307693,208,1,8,CAS0001,0.125,-0.04807692307692307
CAS_4JAG,0.08653846153846154,208,1,7,CAS0001,0.14285714285714285,-0.05631868131868131
CAS_5AHX,0.0673076923076923,208,2,6,CAS0002,0.3333333333333333,-0.266025641025641
CAS_5AI4,0.04807692307692308,208,1,7,CAS0002,0.14285714285714285,-0.09478021978021978
CAS_5AI5,0.07211538461538461,208,1,6,CAS0002,0.16666666666666666,-0.09455128205128205
CAS_5AIA,0.04326923076923077,208,1,8,CAS0002,0.125,-0.08173076923076923
CAS_5AK4,0.028846153846153848,208,1,6,CAS0002,0.16666666666666666,-0.1378205128205128
CAS_5AK5,0.0625,208,1,7,CAS0002,0.14285714285714285,-0.08035714285714285
