protein,cluster,is_distal,best_ham,best_score,best_minhop,auc,p5
ASB_11BG,Seminal ribonuclease,0,binary/comb,residLOG,1,1.0,0.2
ASB_1A3W,Pyruvate kinase 1,1,hnew/full,R,4,0.8857,1.0
ASB_1DKU,Ribose-phosphate pyrophosphokinase,0,binary/sym,p_peak,2,1.0,0.2
ASB_1EM6,"Glycogen phosphorylase, liver form",1,binary/comb,R,4,1.0,0.2
ASB_1G3L,Glucose-1-phosphate thymidylyltransferase,0,harm/sym,residRAW_dX,3,1.0,0.6
ASB_1GZ3,"NAD-dependent malic enzyme, mitochondrial",1,hnew/full,QMI,3,0.9895,0.8
ASB_1H5S,Glucose-1-phosphate thymidylyltransferase 1,0,hnew/full,green_zero_0.01,2,0.8187,0.8
ASB_1LVW,Glucose-1-phosphate thymidylyltransferase,0,gauss/adj,pavg_over_dX,2,0.9048,1.0
ASB_1M8P,Sulfate adenylyltransferase,1,harm/comb,residLOG_dX,3,0.7214,0.2
ASB_1MP3,Glucose-1-phosphate thymidylyltransferase,0,binary/comb,p_avg,3,1.0,0.2
ASB_1OF6,"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited",0,binary/sym,p_peak,1,1.0,0.2
ASB_1PFK,ATP-dependent 6-phosphofructokinase isozyme 1,1,hnew/full,green_zero_0.05,3,0.8523,0.8
ASB_1T49,Tyrosine-protein phosphatase non-receptor type 1,1,exp/comb,green_zero_0.05,3,1.0,1.0
ASB_1UXV,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase,1,exp/adj,p_avg,4,0.9,0.6
ASB_1W25,Response regulator PleD,1,harm/comb,QMI,4,1.0,0.2
ASB_1W96,Acetyl-CoA carboxylase,1,harm/sym,residLOG_dE,3,0.9788,0.8
ASB_1Z8D_1,"Glycogen phosphorylase, muscle form",1,binary/comb,green_zero_0.05,4,0.8077,0.2
ASB_1Z8D_2,"Glycogen phosphorylase, muscle form",0,exp/sym,neg_ED_final,2,0.983,0.6
ASB_1ZDS,Copper-containing nitrite reductase,0,binary/adj,neg_ED_final,1,1.0,0.2
ASB_2BXA,Serum albumin,1,gauss/adj,neg_ED_final,4,0.9722,0.8
ASB_2D60,Hemoglobin subunit beta,0,binary/adj,neg_ED_final,1,1.0,0.2
ASB_2HVW,Putative deoxycytidylate deaminase,0,binary/adj,p_avg,2,1.0,0.2
ASB_2IEG,"Glycogen phosphorylase, muscle form",1,binary/adj,neg_ED_final,4,1.0,0.4
ASB_2J0X,Lysine-sensitive aspartokinase 3,1,binary/adj,p_peak,3,1.0,0.2
ASB_2JHR,Myosin-2 heavy chain,0,binary/sym,residLOG_dX,4,1.0,0.6
ASB_2Q5O,Indole-3-pyruvate decarboxylase,0,binary/sym,residLOG_dE,3,0.9302,0.2
ASB_2QPY,Androgen receptor,1,exp/comb,residLOG,3,1.0,0.4
ASB_2R1R,Ribonucleoside-diphosphate reductase 1 subunit alpha,1,exp/adj,green_zero_0.01,3,1.0,1.0
ASB_2VGI,Pyruvate kinase PKLR,1,harm/comb,neg_ED_final,4,0.9455,1.0
ASB_2YHD,Androgen receptor,0,binary/adj,R,3,1.0,0.2
ASB_2YLO,Androgen receptor,1,hnew/full,green_zero_0.05,3,0.9889,1.0
ASB_3CSM,Chorismate mutase,0,gauss/adj,neg_dD_mean,3,1.0,0.2
ASB_3D2P,Amino-acid acetyltransferase,0,exp/comb,green_lmax_0.05,3,1.0,0.6
ASB_3E3N,"Glycogen phosphorylase, muscle form",1,harm/comb,p_avg,4,0.76,0.2
ASB_3ETE_2,"Glutamate dehydrogenase 1, mitochondrial",0,binary/adj,QMI,2,1.0,0.2
ASB_3H6O,Pyruvate kinase PKM,1,gauss/sym,QMI,4,0.8788,1.0
ASB_3HO6,Toxin A,0,exp/adj,QMI,2,1.0,0.4
ASB_3HQP,Pyruvate kinase,1,hnew/full,neg_dD_mean,4,0.8848,0.8
ASB_3KGF_1,Phospho-2-dehydro-3-deoxyheptonate aldolase AroG,0,binary/sym,residLOG_dX,1,0.9352,0.4
ASB_3LSW,Glutamate receptor 3,0,exp/adj,neg_ED_final,1,0.9778,0.8
ASB_3LSX,Glutamate receptor 3,1,hnew/full,R,1,1.0,0.2
ASB_3LU6,Serum albumin,1,gauss/comb,green_lmax_0.05,3,0.9545,0.8
ASB_3M3F,Glutamate receptor 3,0,binary/comb,green_lmax_0.05,2,1.0,0.4
ASB_3MW9,"Glutamate dehydrogenase 1, mitochondrial",0,binary/adj,green_zero_0.05,3,1.0,0.2
ASB_3O2M,Mitogen-activated protein kinase 8,1,binary/comb,residRAW,4,1.0,1.0
ASB_3PTZ,UDP-glucose 6-dehydrogenase,0,exp/adj,p_peak,3,1.0,0.4
ASB_3PYY,Tyrosine-protein kinase ABL1,0,exp/sym,R,2,1.0,0.6
ASB_3R1R,Ribonucleoside-diphosphate reductase 1 subunit alpha,1,harm/adj,QMI,4,0.8125,0.6
ASB_3UO9,"Glutaminase kidney isoform, mitochondrial",0,harm/sym,neg_ED_final,2,0.9556,0.8
ASB_3ZCW,Kinesin-like protein KIF11,0,binary/adj,p_avg,3,1.0,0.6
ASB_4B1F,Glutamate racemase,0,exp/adj,green_zero_0.01,2,1.0,0.4
ASB_4BBG,Kinesin-like protein KIF11,0,harm/adj,neg_dD_mean,2,0.8828,0.6
ASB_4E6C,Mitogen-activated protein kinase 14,1,gauss/adj,R,4,1.0,0.2
ASB_4G1N,Pyruvate kinase PKM,1,binary/sym,neg_dD_mean,4,0.9815,0.6
ASB_4GRS,2-dehydro-3-deoxyphosphoheptonate aldolase,1,gauss/comb,R,1,1.0,0.2
ASB_4HO6,Glucose-1-phosphate thymidylyltransferase,0,binary/comb,p_peak,2,0.8611,0.8
ASB_4HYW,Pyruvate kinase 1,1,binary/adj,QMI,4,0.9083,1.0
ASB_4KZT,N-acetylglutamate kinase / N-acetylglutamate synthase,0,harm/adj,green_zero_0.01,1,0.9818,0.2
ASB_4MRA,"Glycogen phosphorylase, muscle form",1,hnew/full,p_avg,1,1.0,0.2
ASB_4PFK,ATP-dependent 6-phosphofructokinase,1,binary/adj,QMI,4,0.9091,0.6
CAS_11BG,CAS0051,0,binary/adj,green_zero_0.01,1,1.0,0.2
CAS_1BOZ,CAS0060,0,binary/sym,neg_ED_final,1,0.8281,0.2
CAS_1BSR,CAS0051,0,hnew/full,green_zero_0.01,1,0.96,0.8
CAS_1BZC,CAS0079,0,binary/adj,green_zero_0.05,1,1.0,0.2
CAS_1BZJ,CAS0079,0,exp/adj,neg_dD_mean,1,0.9919,0.8
CAS_1C84,CAS0079,0,binary/sym,p_peak,3,1.0,0.4
CAS_1C85,CAS0079,0,harm/adj,green_zero_0.01,2,0.8796,0.4
CAS_1C86,CAS0079,0,hnew/full,residLOG_dX,3,0.9667,0.8
CAS_1C87,CAS0079,0,binary/sym,neg_dD_mean,3,1.0,1.0
CAS_1C88,CAS0079,0,exp/comb,neg_ED_final,3,0.9444,1.0
CAS_1DGK,CAS0027,1,harm/adj,residRAW_dX,1,0.8664,0.4
CAS_1DLS,CAS0060,0,gauss/sym,neg_ED_final,1,0.9608,0.4
CAS_1DRE,CAS0061,0,harm/adj,QMI,1,1.0,1.0
CAS_1DRF,CAS0060,0,hnew/full,neg_ED_final,1,0.9389,1.0
CAS_1ECV,CAS0079,0,exp/sym,neg_ED_final,3,0.98,0.8
CAS_1FIN,CAS0091,0,binary/adj,neg_dD_mean,2,1.0,0.2
CAS_1G1G,CAS0079,0,exp/adj,p_peak,3,1.0,0.4
CAS_1G7G,CAS0079,0,harm/comb,pavg_over_dE,2,1.0,0.2
CAS_1GOS,CAS0086,0,exp/adj,QMI,3,0.8333,0.4
CAS_1HFQ,CAS0060,0,hnew/full,QMI,1,0.9531,0.4
CAS_1I00,CAS0080,0,binary/adj,neg_dD_mean,1,1.0,0.2
CAS_1I2D,CAS0010,1,harm/adj,R,4,1.0,1.0
CAS_1I4O,CAS0071,0,binary/adj,neg_dE,3,1.0,1.0
CAS_1ICE,CAS0070,0,gauss/sym,neg_ED_final,2,0.95,0.4
